"","city","course1","course2","course3","course4","course5","course6","course7","course8","course9","course10","course11","course12","course13","course14","course15","course16","course17","course18","course19","course20","lon","lat","code","title"
"57","Evora","TPTI","ARCHMAT","","","","","","","","","","","","","","","","","","",-7.9093074,38.5707119,"Evora","Evora"
"58","Faro","WACOMA","ChIR","EMECC NURSING","EMQAL","","","","","","","","","","","","","","","","",-7.9374948,37.0103271,"Faro","Faro"
"59","Ferrara","IMQP","","","","","","","","","","","","","","","","","","","",11.619787,44.8381237,"Ferrara","Ferrara"
"60","Florence","TROPIMUNDO","","","","","","","","","","","","","","","","","","","",11.2558136,43.7695604,"Florence","Florence"
"61","Freiberg","EMERALD","","","","","","","","","","","","","","","","","","","",13.341727,50.9128283,"Freiberg","Freiberg"
"62","Galati","EMSHIP","","","","","","","","","","","","","","","","","","","",28.0079945,45.4353208,"Galati","Galati"
"63","Gdansk","MATHMODS","EMQAL","","","","","","","","","","","","","","","","","","",18.6466384,54.3520252,"Gdansk","Gdansk"
"64","Geisenheim","VINIFERA","","","","","","","","","","","","","","","","","","","",7.9666942,49.9864335,"Geisenheim","Geisenheim"
"65","Genova","EMSHIP","EMARO+","","","","","","","","","","","","","","","","","","",8.946256,44.4056499,"Genova","Genova"
"66","Ghent","IMRD","IMFSE","EMLE","BIFTEC","","","","","","","","","","","","","","","","",3.7174243,51.0543422,"Ghent","Ghent"
"67","Giessen","EUCOMOR","","","","","","","","","","","","","","","","","","","",8.6784031,50.5840512,"Giessen","Giessen"
"68","Girona","MAIA","EMTM","","","","","","","","","","","","","","","","","","",2.8214264,41.9794005,"Girona","Girona"
"69","Giza","EU4M - EMMC","","","","","","","","","","","","","","","","","","","",31.2088526,30.0130557,"Giza","Giza"
"70","Gjovik","COSI","","","","","","","","","","","","","","","","","","","",10.6916303,60.7954302,"Gjovik","Gjovik"
"71","Glasgow","IMRCEES","IMAESC","","","","","","","","","","","","","","","","","","",-4.251806,55.864237,"Glasgow","Glasgow"
"72","Gothenburg","EMM-Nano","EM HRPP","MFAMILY","","","","","","","","","","","","","","","","","",11.97456,57.70887,"Gothenburg","Gothenburg"
