X,Y,field_1,city,course1,course2,course3,course4,course5,course6,course7,course8,course9,course10,course11,course12,course13,course14,course15,course16,lon,lat,website1,website2,website3,website4,website5,website6,website7,website8,website9,website10,website11,website12,website13,website14,website15,website16,code,title
8.6511929,49.8728253,48,Darmstadt,MUNDUS URBANO,FAME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6511929,49.8728253,http://www.mundus-urbano.eu/,http://www.fame-master.com/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Darmstadt,Darmstadt
21.6273123,47.5316049,49,Debrecen,EM-SANF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6273123,47.5316049,http://www.emsanf.eu/UK/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Debrecen,Debrecen
4.3570677,52.0115769,50,Delft,CoMEM,EWEM,GroundwatCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3570677,52.0115769,http://www.ntnu.edu/studies/mscomem,http://www.windenergymaster.eu/,http://www.groundwatermaster.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delft,Delft
5.04148,47.322047,51,Dijon,MAIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04148,47.322047,http://www.maiamaster.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dijon,Dijon
13.7372621,51.0504088,52,Dresden,EMM-Nano,GroundwatCH,CARTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7372621,51.0504088,http://www.emm-nano.org/,http://www.groundwatermaster.eu/,http://www.cartographymaster.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dresden,Dresden
10.0471549,5.4459387,53,Dschang,TROPIMUNDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0471549,5.4459387,http://www.tropimundo.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dschang,Dschang
-3.188267,55.953252,54,Edinburgh,KINOEYES | KEM,IMIM,MSPME,SSI,ChIR,IMFSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.188267,55.953252,http://www.kinoeyes.eu/,http://www.imim.polimi.it/,http://www.mspme.org/,http://ssi-master.eu/,http://www.emmcchir.org/,http://www.imfse.ugent.be/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Edinburgh,Edinburgh
6.8936619,52.2215372,55,Enschede,CARTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8936619,52.2215372,http://www.cartographymaster.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Enschede,Enschede
-7.9093074,38.5707119,56,Evora,TPTI,ARCHMAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.9093074,38.5707119,http://www.tpti.eu/,http://www.erasmusmundus-archmat.uevora.pt/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Evora,Evora
-7.9374948,37.0103271,57,Faro,WACOMA,ChIR,EMECC NURSING,EMQAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.9374948,37.0103271,"http://erasmusmundus.uca.es/en/content,3,erasmus-mundus",http://www.emmcchir.org/,http://masternursing.uniovi.es/,http://www.emqal.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Faro,Faro
11.619787,44.8381237,58,Ferrara,IMQP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.619787,44.8381237,https://sites.google.com/a/unife.it/quaternary-prehistory/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ferrara,Ferrara
11.2558136,43.7695604,59,Florence,TROPIMUNDO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2558136,43.7695604,http://www.tropimundo.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Florence,Florence
13.341727,50.9128283,60,Freiberg,EMERALD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.341727,50.9128283,http://em-georesources.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freiberg,Freiberg
28.0079945,45.4353208,61,Galati,EMSHIP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.0079945,45.4353208,http://www.emship.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Galati,Galati
18.6466384,54.3520252,62,Gdansk,MATHMODS,EMQAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6466384,54.3520252,http://www.mathmods.eu/,http://www.emqal.org/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gdansk,Gdansk
7.9666942,49.9864335,63,Geisenheim,VINIFERA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9666942,49.9864335,http://vinifera-euromaster.eu/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geisenheim,Geisenheim
