	variable	value	citibike_station_id	label
2896	1	0	377	6 Ave & Canal St
2916	1	0.11	379	W 31 St & 7 Ave
2941	1	1.99	380	W 4 St & 7 Ave S
2966	1	0.44	382	University Pl & E 14 St
2997	1	2.54	383	Greenwich Ave & 7 Ave
3019	1	3.54	385	E 55 St & 2 Ave
3046	1	0	386	Centre St & Worth St
3073	1	0	387	Centre St & Chambers St
3100	1	1.1	388	W 26 St & 10 Ave
3123	1	40.55	393	E 5 St & Avenue C
3169	1	24.31	394	E 9 St & Avenue C
3180	1	61.99	400	Pitt St & Stanton St
3213	1	30.17	401	Allen St & Rivington St
3241	1	0	402	Broadway & E 22 St
3272	1	0.44	405	Washington St & Gansevoort St
3302	1	27.62	408	Market St & Cherry St
3327	1	31.38	410	Suffolk St & Stanton St
3345	1	53.48	411	E 6 St & Avenue D
3380	1	2.1	412	Forsyth St & Canal St
3386	1	0	415	Pearl St & Hanover Square
3420	1	4.86	417	Barclay St & Church St
3450	1	0	422	W 59 St & 10 Ave
3459	1	0.11	423	W 54 St & 9 Ave
3489	1	0.66	426	West St & Chambers St
3512	1	0	427	State St
3553	1	7.73	428	E 3 St & 1 Ave
3571	1	33.81	432	E 7 St & Avenue A
3607	1	32.6	433	E 13 St & Avenue A
3629	1	1.44	434	9 Ave & W 18 St
3666	1	0	435	W 21 St & 6 Ave
3687	1	24.53	438	St Marks Pl & 1 Ave
3704	1	2.54	439	E 4 St & 2 Ave
3723	1	0	440	E 45 St & 3 Ave
3760	1	0	441	E 52 St & 2 Ave
3787	1	20.55	442	W 27 St & 7 Ave
3814	1	0.99	444	Broadway & W 24 St
3845	1	43.2	445	E 10 St & Avenue A
3863	1	9.94	446	W 24 St & 7 Ave
3886	1	0.55	447	8  Ave & W 52 St
3917	1	27.51	448	W 37 St & 10 Ave
3940	1	0	449	52 St & 9 Ave
3958	1	17.9	453	W 22 St & 8 Ave
3989	1	1.99	455	1 Ave & E 44 St
4012	1	0	456	E 53 St & Madison Ave
4037	1	0.11	457	Broadway & W 57 St
4066	1	0.66	458	W 22 St & 11 Ave
4093	1	0	459	W 18 St & 11 Ave
4111	1	19.34	461	E 20 St & 2 Ave
4147	1	7.29	462	W 22 St & 10 Ave
4168	1	1.99	463	9 Ave & W 16 St
4205	1	20.55	465	Broadway & W 41 St
4218	1	0	466	W 25 St & 6 Ave
4262	1	0	468	Broadway & W 55 St
4281	1	0	469	Broadway & W 53 St
4310	1	8.84	470	W 20 St & 8 Ave
4321	1	0	472	E 32 St & Park Av
4361	1	11.38	473	Rivington St & Chrystie St
4393	1	0	474	5 Ave & E 29 St
