variable	value	label
287	2	2.62	Warren St & Church St
288	9	9.59	Warren St & Church St
289	15	0.22	E 40 St & 5 Ave
290	4	0	E 40 St & 5 Ave
291	7	0	E 40 St & 5 Ave
292	23	0	E 40 St & 5 Ave
293	13	3.7	E 40 St & 5 Ave
294	8	0.33	E 40 St & 5 Ave
295	3	0.11	E 40 St & 5 Ave
296	10	6.21	E 40 St & 5 Ave
297	19	0	E 40 St & 5 Ave
298	0	0	E 40 St & 5 Ave
299	20	0	E 40 St & 5 Ave
300	11	4.47	E 40 St & 5 Ave
301	2	0.11	E 40 St & 5 Ave
302	6	0	E 40 St & 5 Ave
303	1	0	E 40 St & 5 Ave
304	22	0	E 40 St & 5 Ave
305	9	4.36	E 40 St & 5 Ave
306	17	0	E 40 St & 5 Ave
307	16	0	E 40 St & 5 Ave
308	5	0	E 40 St & 5 Ave
309	14	0.11	E 40 St & 5 Ave
310	12	4.8	E 40 St & 5 Ave
311	18	0	E 40 St & 5 Ave
312	21	0	E 40 St & 5 Ave
313	7	0	E 37 St & Lexington Ave
314	3	0	E 37 St & Lexington Ave
315	8	0	E 37 St & Lexington Ave
316	12	0.22	E 37 St & Lexington Ave
317	15	0	E 37 St & Lexington Ave
318	19	0	E 37 St & Lexington Ave
319	5	0	E 37 St & Lexington Ave
320	23	0	E 37 St & Lexington Ave
321	1	0	E 37 St & Lexington Ave
322	20	0	E 37 St & Lexington Ave
323	9	0.44	E 37 St & Lexington Ave
324	11	0.65	E 37 St & Lexington Ave
325	4	0	E 37 St & Lexington Ave
326	18	0	E 37 St & Lexington Ave
327	22	0	E 37 St & Lexington Ave
328	16	0	E 37 St & Lexington Ave
329	6	0	E 37 St & Lexington Ave
330	21	0	E 37 St & Lexington Ave
331	0	0	E 37 St & Lexington Ave
332	10	0.65	E 37 St & Lexington Ave
333	17	0	E 37 St & Lexington Ave
334	14	0	E 37 St & Lexington Ave
335	2	0	E 37 St & Lexington Ave
336	13	0	E 37 St & Lexington Ave
337	8	0	LaGuardia Pl & W 3 St
338	5	0.65	LaGuardia Pl & W 3 St
339	11	9.48	LaGuardia Pl & W 3 St
340	20	8.98	LaGuardia Pl & W 3 St
341	7	0	LaGuardia Pl & W 3 St
342	19	12.94	LaGuardia Pl & W 3 St
343	6	0.22	LaGuardia Pl & W 3 St
344	1	0.66	LaGuardia Pl & W 3 St
345	12	6.87	LaGuardia Pl & W 3 St
